37	83	24	19	37
59	77	43	43	118
6	65	40	22	6
63	77	76	8	63
74	47	97	26	222
48	24	17	7	24
27	39	77	35	27
35	41	6	21	52
46	32	95	3	23
34	43	72	42	17
2	57	76	39	4
61	90	53	26	61
89	95	54	7	89
9	64	76	12	9
38	60	40	25	12
89	49	74	2	44
7	87	92	45	4
15	34	76	21	10
3	54	48	25	3
55	87	22	23	55
10	72	80	47	6
59	24	45	50	59
1	12	39	14	3
37	8	44	4	37
14	7	80	25	14
33	7	47	41	22
32	67	83	33	16
7	42	92	2	10
41	31	35	50	41
77	43	41	38	77
20	16	63	40	13
61	57	19	31	30
84	79	94	25	252
83	56	41	26	41
96	85	46	7	64
30	14	35	15	20
29	21	74	35	29
50	54	55	42	50
74	80	21	27	24
13	98	40	37	8
38	30	50	42	57
87	84	31	12	43
71	76	73	29	35
9	12	17	44	4
77	81	73	47	77
48	33	39	27	144
41	79	45	50	41
18	89	93	5	18
75	37	21	49	112
98	81	51	21	98
51	22	57	6	51
93	9	20	40	93
98	41	83	19	98
34	1	72	32	102
9	58	43	49	3
23	36	58	21	34
53	5	40	30	53
95	62	66	49	285
23	91	62	14	11
37	27	38	8	37
75	39	51	13	50
23	69	80	17	7
21	92	59	38	21
37	45	93	18	55
96	82	11	9	32
61	29	49	19	183
9	6	3	42	9
65	60	45	50	32
94	82	93	48	62
85	72	38	43	56
12	18	89	10	36
41	2	42	6	123
75	48	21	16	37
35	98	71	49	35
60	73	98	25	60
19	58	98	27	9
38	43	92	32	38
92	42	100	16	30
31	58	34	10	10
9	64	7	2	6
36	3	93	30	54
49	74	77	37	73
46	29	39	35	23
5	1	51	34	1
41	9	53	21	41
11	69	60	19	5
84	17	1	24	28
40	8	88	5	120
85	76	65	19	85
92	73	91	9	92
29	94	68	12	29
59	97	89	19	19
61	21	72	32	61
97	55	69	9	64
54	4	54	1	18
39	30	17	18	39
95	39	13	46	95
49	98	22	24	49
80	64	9	4	160
95	85	62	40	190
73	64	12	27	48
75	97	38	11	75
42	8	92	3	42
95	79	48	15	95
98	19	59	11	65
92	22	100	26	184
16	88	23	11	10
78	72	76	50	26
87	30	14	21	58
70	15	46	22	70
25	12	19	31	25
89	24	51	33	267
1	14	77	38	2
69	40	46	41	23
40	60	79	40	120
15	1	81	3	22
56	32	64	37	37
3	36	23	8	6
21	56	38	6	31
23	98	46	42	34
26	54	18	30	13
77	41	25	36	38
50	81	40	18	150
53	87	63	8	53
54	59	95	34	162
39	98	76	20	117
40	31	97	16	40
100	33	56	32	100
42	30	13	18	63
17	46	49	6	34
3	14	56	22	2
41	80	65	10	41
20	89	78	31	10
7	79	62	8	14
52	78	83	15	52
27	46	30	4	81
76	10	75	31	114
15	71	57	14	15
46	48	52	6	46
79	98	97	11	26
55	2	6	20	82
54	21	10	47	18
94	44	7	49	31
90	1	35	13	180
28	1	98	40	9
72	21	55	50	72
90	34	81	8	30
13	98	31	40	26
13	38	68	41	4
36	68	39	28	18
34	69	84	28	34
4	65	33	36	12
83	100	87	17	55
63	90	71	49	21
12	96	89	31	24
52	18	44	8	34
45	93	16	1	135
69	78	90	4	69
3	77	61	46	9
66	51	45	11	33
66	65	58	28	99
93	17	41	6	62
11	98	18	45	3
74	97	74	21	74
94	6	19	24	282
82	52	17	39	82
48	80	24	19	24
85	68	61	35	85
19	70	53	46	9
40	45	2	7	40
7	75	9	31	7
8	17	9	1	5
85	54	99	19	170
83	47	24	23	83
66	7	69	35	22
44	68	99	37	29
79	67	22	47	79
42	93	11	48	21
11	37	62	21	11
15	45	27	18	30
47	89	67	45	47
64	35	45	18	192
46	59	93	44	46
15	80	35	34	15
70	44	73	28	210
34	86	8	18	22
10	31	10	23	10
23	42	11	7	69
91	16	18	40	91
37	48	59	4	18
83	36	36	14	249
47	44	26	46	31
85	14	51	9	255
92	49	97	14	92
37	96	20	19	74
46	69	15	21	46
22	25	22	21	22
74	87	7	6	24
98	40	62	34	98
94	1	29	46	141
85	44	90	32	85
90	73	60	15	90
33	4	69	47	33
55	63	25	9	110
90	17	11	48	45
44	52	16	26	44
88	23	26	4	264
32	71	81	1	64
34	95	27	43	51
15	37	29	36	15
88	25	23	47	58
63	20	25	24	63
66	42	67	47	66
68	96	8	42	22
67	17	33	26	33
7	92	20	47	7
16	2	10	24	48
53	1	8	4	79
68	36	26	38	102
36	60	29	3	36
72	1	37	35	108
66	58	59	28	33
56	44	91	11	28
86	68	29	4	172
54	99	74	49	18
38	60	34	45	38
38	45	12	41	114
26	35	1	5	26
65	99	26	21	32
70	18	64	23	35
98	4	70	4	65
54	79	28	31	36
23	3	98	18	11
69	46	27	19	69
71	53	22	49	35
63	84	88	7	189
4	15	84	30	1
46	53	15	10	23
35	89	83	18	35
28	6	42	8	18
97	70	68	5	32
81	75	19	10	81
73	99	86	41	36
14	63	17	23	28
83	29	65	15	55
66	76	96	24	66
92	5	92	31	138
42	93	56	41	42
48	13	71	1	48
9	82	5	31	6
66	39	59	1	66
4	99	56	37	12
96	75	19	36	288
98	27	5	23	147
68	39	43	1	68
80	84	12	9	53
47	33	36	7	94
46	74	21	14	46
34	36	71	33	11
7	30	22	29	10
27	15	18	16	27
13	78	18	13	13
78	8	76	37	26
47	3	69	20	94
39	91	86	17	13
24	22	23	24	8
86	78	79	41	86
81	60	32	3	81
56	48	10	12	56
15	68	88	48	7
29	52	51	2	9
99	60	20	18	148
72	64	76	41	48
1	89	46	11	1
36	2	12	16	108
13	44	14	15	13
80	15	62	23	80
83	34	97	15	83
16	81	61	8	16
82	44	30	44	27
22	50	67	7	44
10	5	72	24	20
3	8	42	36	9
76	65	55	41	76
43	65	83	7	43
62	43	52	2	186
81	46	22	24	81
85	76	62	39	85
71	62	7	38	23
90	47	51	40	90
13	53	63	49	13
93	56	96	5	279
53	55	42	31	53
62	11	55	33	41
40	39	31	3	120
14	61	62	2	42
96	41	40	39	96
93	86	93	43	31
98	26	8	11	196
9	47	22	46	6
98	42	7	28	65
47	85	76	1	70
10	9	48	45	10
41	92	5	34	20
77	67	74	3	115
19	41	45	45	19
74	66	64	33	74
20	48	89	39	6
22	76	89	36	7
58	79	72	5	174
5	48	66	35	2
72	30	26	40	24
73	31	89	3	36
92	64	67	38	276
61	36	85	31	183
100	28	40	41	200
41	25	62	49	27
54	87	18	18	54
50	24	83	33	50
78	20	54	27	39
64	52	32	10	192
53	7	66	30	26
55	73	87	15	110
55	1	10	6	110
83	68	74	7	41
65	6	88	10	97
46	42	4	39	15
83	16	50	6	55
11	63	52	44	11
95	54	19	22	190
29	88	54	13	14
58	56	36	23	58
57	8	33	46	171
14	80	35	20	28
36	23	39	26	24
93	18	77	7	46
32	10	35	46	10
41	42	64	42	41
72	5	69	39	24
100	55	70	42	300
31	71	64	31	20
91	7	37	6	91
68	31	2	23	22
72	91	82	25	72
68	18	72	8	68
9	94	20	49	9
34	13	64	50	17
26	66	87	5	26
90	22	14	7	90
89	55	78	29	59
77	2	82	44	25
62	34	78	44	124
68	60	78	15	45
94	70	34	50	94
29	85	37	15	29
34	75	80	48	102
60	34	46	26	120
91	43	86	30	45
17	48	11	37	17
75	8	20	13	75
87	15	69	21	87
75	48	4	28	112
81	41	37	39	81
25	4	55	5	12
77	97	71	46	77
96	85	81	46	48
73	34	54	39	24
72	99	62	40	48
37	76	41	24	24
42	73	69	21	14
38	64	46	17	19
9	12	70	1	9
9	73	94	40	4
100	19	46	42	100
22	52	75	9	22
44	9	66	15	29
83	16	4	26	249
37	58	1	20	55
77	29	3	7	115
88	32	100	47	176
6	21	39	30	9
12	18	73	9	12
66	13	3	45	198
13	55	58	38	39
54	20	4	3	162
99	8	19	22	33
13	3	41	5	13
95	54	60	24	95
37	67	31	49	55
26	82	100	11	26
72	53	20	27	72
89	2	18	28	29
95	97	24	36	95
67	52	51	41	33
10	85	75	49	6
57	45	89	8	19
71	10	89	37	142
3	35	59	38	3
11	47	97	43	11
69	4	4	49	46
29	8	62	2	58
71	30	68	30	71
78	80	64	12	156
97	82	26	41	145
38	33	80	45	38
30	71	65	42	10
43	98	21	38	28
43	73	47	45	43
59	4	3	23	88
28	94	73	20	18
11	61	3	32	3
88	25	63	11	88
97	97	90	50	97
11	89	74	5	11
48	55	92	26	96
1	73	95	6	0
62	3	43	23	31
54	69	14	11	54
42	83	41	34	42
45	46	75	32	22
98	9	55	19	49
66	17	43	31	66
37	41	6	26	55
30	48	55	5	90
36	58	64	25	24
5	96	66	9	2
42	50	51	27	42
39	76	38	36	117
92	62	9	26	138
79	100	19	7	79
50	5	19	34	75
40	27	81	45	80
76	13	31	48	228
93	48	10	5	139
89	48	13	44	89
74	38	47	18	148
17	22	65	3	8
55	96	76	18	18
92	15	58	35	61
66	1	53	4	66
93	76	3	41	93
78	83	51	28	156
43	59	92	43	43
15	66	72	33	7
42	75	94	41	14
38	11	25	39	57
59	26	59	41	39
