56	132	194	75
59	128	122	225
218	104	130	100
140	131	212	87
191	234	83	250
79	67	110	155
201	132	137	121
106	61	83	69
168	128	76	114
194	108	209	192
192	213	189	133
180	178	91	99
244	138	79	148
191	153	129	225
239	57	117	113
110	238	172	250
222	125	174	77
240	52	184	201
205	239	191	238
85	55	201	191
200	175	194	169
230	158	216	57
234	93	101	173
86	178	52	127
134	113	94	186
157	175	74	245
87	166	88	179
88	110	180	186
189	85	223	192
185	158	194	113
168	210	58	50
200	96	126	218
111	94	250	224
102	91	57	226
210	210	165	163
197	137	192	150
156	216	146	70
114	107	95	158
140	111	156	161
85	210	89	137
186	203	141	202
184	246	189	79
229	111	198	148
221	65	154	185
193	109	239	187
69	157	168	176
163	185	241	96
123	103	210	118
62	224	92	146
209	213	235	197
181	126	124	104
213	107	164	165
150	154	174	209
204	105	106	249
202	119	114	122
233	220	229	221
99	183	166	186
72	184	80	239
159	152	67	246
200	179	72	250
94	131	102	111
69	96	108	193
98	191	225	97
70	140	109	229
129	207	72	174
249	167	222	210
244	153	232	222
70	203	90	234
139	179	170	161
125	107	52	221
177	142	169	104
227	139	217	53
246	83	113	202
136	80	246	65
129	230	205	79
130	102	157	61
179	214	205	69
210	231	144	66
67	194	88	201
163	66	80	95
196	70	95	230
250	79	125	131
190	86	101	176
219	111	104	101
193	155	51	196
138	230	232	201
62	184	192	97
192	132	157	104
246	86	116	168
81	94	99	208
127	154	132	190
61	217	88	183
92	56	145	133
78	54	190	132
145	221	181	191
194	142	128	190
124	106	146	249
56	112	196	246
190	234	65	197
117	202	159	119
197	232	187	93
105	99	227	237
131	226	189	247
243	58	240	76
218	220	109	230
124	159	100	65
213	202	117	170
208	229	226	81
153	196	230	163
202	63	57	51
119	77	216	72
123	245	136	99
180	104	108	76
170	242	200	224
94	60	161	198
156	209	168	165
119	85	160	215
98	243	126	233
200	117	148	197
165	240	85	163
64	246	185	51
127	176	65	129
115	100	95	78
221	106	176	137
152	137	245	112
239	243	234	74
215	170	178	159
148	62	123	225
137	128	187	167
92	145	207	213
88	88	91	239
146	201	86	226
205	95	207	92
136	129	221	58
139	53	143	233
206	215	164	162
55	130	175	93
76	230	50	166
168	173	245	128
146	244	168	242
188	224	247	248
219	109	161	62
239	66	108	63
144	114	115	210
78	204	129	250
183	174	176	245
73	82	96	176
191	203	187	66
104	111	234	150
122	190	72	116
214	148	95	72
75	219	223	232
100	182	161	179
245	74	135	97
56	172	176	215
63	137	133	84
83	135	218	65
212	138	214	216
67	92	167	51
105	60	215	133
136	85	126	207
115	131	70	124
124	225	250	223
158	173	219	81
66	65	133	180
105	55	90	88
105	219	68	200
207	107	239	125
58	195	119	166
111	139	145	216
114	75	186	210
190	240	68	185
122	91	145	127
248	59	213	54
244	76	186	242
130	155	153	241
81	247	55	182
226	245	221	160
82	240	83	55
129	86	171	210
60	231	137	200
115	213	248	197
163	169	208	167
196	68	166	173
96	145	116	119
192	217	157	122
75	91	96	122
197	133	154	78
215	248	75	79
61	73	157	195
122	100	194	111
206	165	179	191
187	168	155	159
144	76	220	162
243	250	206	134
79	52	71	247
111	235	152	224
136	59	189	245
122	186	126	79
69	88	92	168
236	122	108	126
157	72	186	239
133	193	144	52
183	110	173	230
142	127	66	215
166	199	196	137
191	236	174	134
125	138	129	140
113	103	139	159
198	88	123	105
179	204	107	116
78	158	238	211
147	54	132	99
113	104	94	225
78	67	153	239
163	143	248	162
86	172	62	147
156	85	88	228
187	205	190	193
223	50	199	116
224	82	244	53
133	135	136	174
147	165	169	241
54	69	187	199
98	215	133	179
86	207	154	213
236	179	226	196
59	127	117	84
203	219	167	124
73	143	158	84
215	211	159	99
129	149	230	88
152	185	54	164
109	239	213	141
116	221	191	91
138	54	191	143
164	220	82	204
175	198	170	154
151	175	168	59
236	59	215	178
201	90	50	198
208	68	109	71
113	202	208	54
237	192	107	82
120	174	193	66
231	67	200	73
90	200	98	223
244	201	54	202
76	58	70	96
146	81	195	73
69	75	245	90
240	144	207	207
126	217	186	233
78	227	154	183
71	174	178	154
225	147	209	96
135	231	103	77
245	60	89	118
91	149	177	138
241	210	117	73
95	88	51	127
64	59	168	166
195	63	238	166
224	88	149	92
189	82	50	187
173	78	86	112
65	51	165	109
99	189	128	196
247	139	220	250
186	240	146	113
115	154	187	219
95	208	108	53
62	146	100	217
196	172	101	175
154	200	135	110
167	236	97	88
187	131	95	136
118	249	134	133
233	197	200	250
108	138	246	173
53	52	235	148
235	158	57	176
157	224	176	215
56	136	127	59
244	103	248	70
141	165	147	102
250	164	76	221
198	196	173	232
165	215	229	206
216	161	160	94
224	126	99	88
235	89	192	109
114	164	166	72
212	250	149	206
96	142	112	150
176	101	171	173
69	133	191	110
230	236	86	175
80	232	244	235
213	240	180	65
211	147	243	203
199	55	88	84
119	80	200	181
159	68	223	180
67	173	208	56
